id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
3658,0.031,-848.0,-14904.0,8488.0,-60.22,2.83,0.0,-60.92,3.66,29.76,1
3659,0.029999997,-912.0,-15020.0,8592.0,-60.09,3.02,0.0,-61.39,3.69,29.77,1
3660,0.032,-780.0,-14840.0,8180.0,-61.03,2.64,0.0,-61.94,3.7,29.75,1
3661,0.031,-868.0,-15120.0,8076.0,-61.76,2.9,0.0,-62.42,3.72,29.75,1
3662,0.032,-908.0,-15124.0,8052.0,-61.82,3.03,0.0,-62.88,3.73,29.74,1
3663,0.029999997,-976.0,-14928.0,7788.0,-62.27,3.32,0.0,-63.33,3.74,29.73,1
3664,0.032,-884.0,-15200.0,7692.0,-63.01,2.97,0.0,-63.85,3.73,29.71,1
3665,0.031,-876.0,-14980.0,7640.0,-62.83,2.98,0.0,-64.3,3.74,29.69,1
3666,0.032,-1100.0,-15476.0,7448.0,-64.06,3.66,0.0,-64.8,3.78,29.67,1
3667,0.029999997,-892.0,-15452.0,7340.0,-64.43,2.98,0.0,-65.15,3.78,29.67,1
3668,0.032,-892.0,-15264.0,7264.0,-64.38,3.02,0.0,-65.62,3.81,29.65,1
3669,0.031,-740.0,-15600.0,6804.0,-66.31,2.49,0.0,-66.06,3.77,29.64,1
3670,0.031,-872.0,-15444.0,7036.0,-65.34,2.94,0.0,-66.59,3.77,29.64,1
3671,0.031,-872.0,-15448.0,6756.0,-66.2,2.96,0.0,-66.83,3.75,29.66,1
3672,0.032,-1012.0,-15492.0,6716.0,-66.33,3.43,0.0,-67.21,3.8,29.64,1
3673,0.032,-984.0,-15704.0,6572.0,-67.06,3.31,0.0,-67.48,3.8,29.62,1
3674,0.029999997,-796.0,-15356.0,6480.0,-66.97,2.73,0.0,-67.73,3.77,29.63,1
3675,0.031,-916.0,-15660.0,6280.0,-67.94,3.11,0.0,-68.02,3.77,29.63,1
3676,0.032,-876.0,-15672.0,6360.0,-67.72,2.96,0.0,-68.35,3.76,29.62,1
3677,0.031,-1008.0,-15608.0,6264.0,-67.88,3.43,0.0,-68.67,3.76,29.61,1
3678,0.031,-896.0,-15640.0,6096.0,-68.5,3.06,0.0,-68.9,3.78,29.62,1
3679,0.032,-1052.0,-15892.0,6160.0,-68.53,3.53,0.0,-69.29,3.81,29.58,1
3680,0.031,-900.0,-15688.0,5716.0,-69.75,3.09,0.0,-69.53,3.79,29.57,1
3681,0.032,-928.0,-15532.0,5948.0,-68.81,3.19,0.0,-69.85,3.8,29.56,1
3682,0.029999997,-1012.0,-15856.0,5928.0,-69.23,3.42,0.0,-70.11,3.8,29.54,1
3683,0.032,-812.0,-15836.0,5428.0,-70.88,2.78,0.0,-70.37,3.76,29.54,1
3684,0.032,-1012.0,-15836.0,5560.0,-70.36,3.45,0.0,-70.69,3.8,29.53,1
3685,0.031,-948.0,-15864.0,5536.0,-70.5,3.23,0.0,-71.01,3.82,29.49,1
3686,0.031,-932.0,-15456.0,5548.0,-70.0,3.25,0.0,-71.29,3.84,29.47,1
3687,0.032,-916.0,-16024.0,5272.0,-71.53,3.11,0.0,-71.58,3.86,29.46,1
3688,0.032,-848.0,-15800.0,5136.0,-71.76,2.92,0.0,-71.94,3.92,29.45,1
3689,0.031,-944.0,-16344.0,4720.0,-73.59,3.18,0.0,-72.31,3.96,29.43,1
3690,0.031,-908.0,-15848.0,4936.0,-72.43,3.13,0.0,-72.89,4.09,29.4,1
3691,0.032,-1020.0,-16008.0,4796.0,-72.97,3.49,0.0,-73.33,4.19,29.32,1
3692,0.032,-736.0,-15132.0,4528.0,-73.13,2.67,0.0,-73.72,4.22,29.27,1
3693,0.031,-944.0,-15932.0,4900.0,-72.61,3.24,0.0,-74.01,4.26,29.26,1
3694,0.031,-876.0,-16020.0,4504.0,-74.02,3.01,0.0,-74.29,4.28,29.24,1
3695,0.032,-948.0,-15864.0,4308.0,-74.46,3.3,0.0,-74.54,4.29,29.23,1
3696,0.032,-932.0,-15972.0,4456.0,-74.09,3.22,0.0,-74.86,4.34,29.21,1
3697,0.031,-924.0,-15840.0,4268.0,-74.59,3.22,0.0,-75.1,4.39,29.17,1
3698,0.031,-1032.0,-15996.0,4236.0,-74.75,3.57,0.0,-75.35,4.42,29.14,1
3699,0.032,-772.0,-16088.0,4000.0,-75.79,2.67,0.0,-75.58,4.4,29.12,1
3700,0.032,-1036.0,-16232.0,4252.0,-74.91,3.53,0.0,-75.84,4.45,29.08,1
3701,0.031,-876.0,-16228.0,3732.0,-76.71,3.01,0.0,-76.07,4.44,29.04,1
3702,0.032,-928.0,-16024.0,3964.0,-75.74,3.22,0.0,-76.35,4.47,29.05,1
3703,0.031,-1016.0,-16296.0,3580.0,-77.14,3.48,0.0,-76.79,4.61,29.01,1
3704,0.031,-900.0,-16156.0,3772.0,-76.5,3.11,0.0,-77.2,4.68,28.97,1
3705,0.032,-956.0,-16184.0,3468.0,-77.47,3.31,0.0,-77.51,4.72,28.93,1
3706,0.032,-1060.0,-16316.0,3656.0,-76.87,3.63,0.0,-77.78,4.75,28.91,1
3707,0.032,-1012.0,-16228.0,3432.0,-77.57,3.49,0.0,-78.01,4.76,28.88,1
3708,0.031,-928.0,-16308.0,3332.0,-78.03,3.19,0.0,-78.28,4.75,28.86,1
3709,0.032,-908.0,-16332.0,3176.0,-78.57,3.12,0.0,-78.57,4.78,28.83,1
3710,0.031,-1044.0,-16328.0,2988.0,-79.03,3.6,0.0,-78.8,4.8,28.81,1
3711,0.032,-840.0,-16140.0,3124.0,-78.67,2.93,0.0,-78.96,4.78,28.81,1
3712,0.031,-1136.0,-16356.0,3008.0,-78.88,3.91,0.0,-79.17,4.82,28.8,1
3713,0.032,-932.0,-16304.0,2940.0,-79.29,3.22,0.0,-79.4,4.8,28.79,1
3714,0.032,-888.0,-16152.0,2968.0,-79.14,3.1,0.0,-79.78,4.84,28.78,1
3715,0.031,-960.0,-16284.0,2756.0,-79.84,3.33,0.0,-80.24,4.87,28.8,1
3716,0.031,-992.0,-16532.0,2232.0,-81.6,3.4,0.0,-80.78,4.96,28.83,1
3717,0.032,-1052.0,-15920.0,2504.0,-80.32,3.73,0.0,-81.1,5.01,28.84,1
3718,0.032,-1084.0,-16664.0,2036.0,-82.12,3.69,0.0,-81.38,5.06,28.82,1
3719,0.032,-824.0,-16292.0,2092.0,-82.14,2.87,0.0,-81.54,5.01,28.82,1
3720,0.029999997,-968.0,-16136.0,2276.0,-81.29,3.4,0.0,-81.69,5.0,28.81,1
3721,0.032,-824.0,-16036.0,2412.0,-80.97,2.91,0.0,-81.81,4.96,28.8,1
3722,0.032,-820.0,-16260.0,2116.0,-82.05,2.86,0.0,-81.96,4.91,28.81,1
3723,0.032,-1060.0,-16468.0,2404.0,-80.94,3.64,0.0,-82.14,4.92,28.81,1
3724,0.031,-908.0,-16340.0,1636.0,-83.47,3.16,0.0,-82.4,4.91,28.81,1
3725,0.031,-992.0,-16380.0,2012.0,-82.2,3.44,0.0,-82.64,4.94,28.81,1
3726,0.032,-860.0,-16420.0,1696.0,-83.39,2.98,0.0,-82.87,4.95,28.81,1
3727,0.031,-976.0,-16264.0,1900.0,-82.52,3.41,0.0,-83.1,4.97,28.8,1
3728,0.032,-1132.0,-16644.0,1488.0,-83.59,3.88,0.0,-83.5,5.06,28.81,1
3729,0.032,-920.0,-16132.0,1712.0,-83.13,3.25,0.0,-83.75,5.08,28.8,1
3730,0.031,-996.0,-16108.0,1500.0,-83.62,3.52,0.0,-84.0,5.12,28.82,1
3731,0.031,-1184.0,-16464.0,1248.0,-84.04,4.1,0.0,-84.37,5.23,28.83,1
3732,0.032,-944.0,-16208.0,1240.0,-84.51,3.32,0.0,-84.72,5.25,28.85,1
3733,0.032,-1140.0,-16396.0,1472.0,-83.52,3.96,0.0,-85.06,5.29,28.86,1
