id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
114,0.025999999,-0.91,2.1,0.5,0.58,-7.7,0.0,1.29,-7.16,2.42
115,0.025999999,-0.9,2.01,0.57,0.11,-7.7,0.0,1.31,-7.17,2.42
116,0.025,-0.97,2.15,0.38,0.83,-7.43,0.0,1.38,-7.12,2.4
117,0.025999999,-0.92,2.19,0.24,1.06,-7.82,0.0,1.47,-7.1,2.4
118,0.025,-1.06,2.17,0.38,0.94,-7.02,0.0,1.48,-7.12,2.38
119,0.025,-0.92,2.13,0.3,0.76,-7.77,0.0,1.62,-7.07,2.36
120,0.025999999,-0.92,2.15,0.31,0.86,-7.75,0.0,1.79,-7.05,2.35
121,0.025,-0.94,2.31,0.31,1.7,-7.64,0.0,2.03,-7.02,2.35
122,0.025999999,-0.95,2.33,0.4,1.77,-7.54,0.0,2.28,-6.98,2.34
123,0.025,-1.13,2.52,0.49,2.74,-6.56,0.0,2.54,-6.85,2.34
124,0.025999999,-1.11,2.52,0.16,2.84,-6.87,0.0,2.75,-6.82,2.39
125,0.025999999,-1.01,2.06,1.37,0.34,-6.67,0.0,2.83,-6.76,2.42
126,0.025,-1.05,2.5,0.54,2.62,-6.92,0.0,3.07,-6.65,2.45
127,0.025999999,-0.99,2.36,0.12,1.97,-7.55,0.0,3.3,-6.55,2.51
128,0.024,-1.02,2.38,0.54,2.0,-7.1,0.0,3.49,-6.4,2.52
129,0.025999999,-1.09,2.6,0.72,3.06,-6.62,0.0,3.67,-6.36,2.53
130,0.025999999,-1.08,2.44,0.25,2.38,-6.94,0.0,3.75,-6.29,2.54
131,0.025,-1.09,2.65,0.21,3.48,-6.92,0.0,3.91,-6.22,2.55
132,0.025999999,-1.06,2.63,0.41,3.29,-6.95,0.0,4.03,-6.16,2.58
133,0.025,-1.11,2.73,0.53,3.77,-6.63,0.0,4.2,-6.1,2.62
134,0.025999999,-1.24,2.75,0.62,3.86,-5.91,0.0,4.41,-6.08,2.69
135,0.025999999,-1.15,2.53,0.22,2.86,-6.61,0.0,4.55,-6.12,2.77
136,0.024,-1.01,2.62,0.27,3.3,-7.32,0.0,4.7,-6.09,2.81
137,0.025999999,-1.32,3.08,0.36,5.7,-5.64,0.0,4.96,-5.86,2.87
138,0.025,-1.25,2.76,-0.07,4.17,-6.23,0.0,5.07,-5.79,2.89
139,0.025999999,-1.23,2.88,0.37,4.61,-6.11,0.0,5.15,-5.7,2.88
140,0.025999999,-1.33,3.01,0.42,5.26,-5.54,0.0,5.18,-5.68,2.91
141,0.025,-1.18,2.9,0.22,4.77,-6.47,0.0,5.13,-5.74,2.92
142,0.025999999,-1.26,2.96,0.28,5.1,-5.97,0.0,5.18,-5.7,2.92
143,0.025,-1.26,3.05,0.29,5.57,-5.96,0.0,5.21,-5.7,2.97
144,0.025999999,-1.12,2.85,0.39,4.44,-6.64,0.0,5.18,-5.72,3.01
145,0.025999999,-1.22,3.04,0.39,5.44,-6.13,0.0,5.23,-5.63,3.03
146,0.025,-1.3,3.0,0.62,5.14,-5.61,0.0,5.29,-5.56,3.09
147,0.025,-1.33,2.96,0.34,5.04,-5.58,0.0,5.27,-5.58,3.16
148,0.025,-1.22,2.85,0.32,4.49,-6.17,0.0,5.18,-5.62,3.22
149,0.025999999,-1.25,2.94,0.3,4.96,-6.05,0.0,5.14,-5.62,3.25
150,0.025999999,-1.24,3.12,0.46,5.83,-5.97,0.0,5.2,-5.57,3.3
151,0.025,-1.29,2.86,0.39,4.51,-5.79,0.0,5.22,-5.54,3.34
152,0.025999999,-1.38,2.98,0.12,5.27,-5.44,0.0,5.26,-5.49,3.42
153,0.025,-1.22,2.84,0.52,4.38,-6.07,0.0,5.27,-5.48,3.47
154,0.025999999,-1.38,3.05,0.43,5.47,-5.27,0.0,5.43,-5.43,3.53
155,0.025999999,-1.26,3.0,0.23,5.31,-6.02,0.0,5.65,-5.4,3.62
156,0.024,-1.3,3.02,0.12,5.48,-5.86,0.0,5.83,-5.32,3.68
157,0.025999999,-1.35,3.07,0.42,5.6,-5.42,0.0,5.93,-5.24,3.71
158,0.025,-1.4,3.16,0.41,6.08,-5.2,0.0,5.98,-5.19,3.72
159,0.025999999,-1.42,3.12,0.57,5.79,-5.0,0.0,6.04,-5.08,3.74
160,0.025999999,-1.36,3.09,0.2,5.79,-5.48,0.0,6.06,-5.07,3.77
161,0.025,-1.32,3.11,0.37,5.84,-5.6,0.0,6.04,-5.08,3.79
162,0.025999999,-1.44,3.16,0.24,6.14,-5.06,0.0,6.07,-4.99,3.82
163,0.025,-1.34,3.19,0.3,6.25,-5.55,0.0,6.04,-4.97,3.86
164,0.025,-1.28,3.17,0.42,6.09,-5.81,0.0,6.01,-5.0,3.89
165,0.025999999,-1.39,3.13,0.31,5.94,-5.3,0.0,5.98,-4.99,3.94
166,0.025,-1.37,3.1,0.47,5.73,-5.31,0.0,5.92,-4.99,3.98
167,0.025999999,-1.41,3.09,0.31,5.74,-5.19,0.0,5.85,-5.01,4.02
168,0.025,-1.43,3.02,0.54,5.26,-5.0,0.0,5.79,-5.01,4.05
169,0.025999999,-0.89,3.11,0.17,5.91,-7.96,0.0,5.94,-4.99,4.09
170,0.025999999,-1.4,3.13,0.29,5.99,-5.25,0.0,5.89,-4.99,4.13
171,0.025,-1.41,3.05,0.08,5.67,-5.33,0.0,5.81,-4.95,4.17
172,0.025999999,-1.4,3.08,0.23,5.73,-5.29,0.0,5.67,-4.93,4.2
173,0.024,-1.52,3.06,0.0,5.78,-4.76,0.0,5.48,-4.9,4.24
174,0.025999999,-1.46,3.15,0.61,5.91,-4.82,0.0,5.47,-4.65,4.29
175,0.025,-1.43,2.64,0.19,3.46,-5.14,0.0,5.33,-4.61,4.35
176,0.025999999,-1.65,3.1,0.18,5.87,-3.99,0.0,5.11,-4.62,4.45
177,0.025999999,-1.52,2.95,0.59,4.9,-4.52,0.0,4.97,-4.55,4.51
178,0.025,-1.22,2.7,0.64,3.63,-5.99,0.0,4.83,-4.54,4.6
179,0.025999999,-1.28,2.82,0.61,4.25,-5.71,0.0,4.74,-4.5,4.64
180,0.025,-1.5,2.85,0.28,4.52,-4.76,0.0,4.62,-4.46,4.67
181,0.025,-1.48,2.92,0.39,4.86,-4.79,0.0,4.51,-4.37,4.71
182,0.025999999,-1.39,2.86,0.39,4.54,-5.27,0.0,4.29,-4.39,4.74
183,0.025,-1.48,2.54,0.38,2.89,-4.8,0.0,4.22,-4.27,4.73
184,0.025999999,-1.67,3.04,-0.35,5.85,-4.09,0.0,4.1,-3.95,4.73
185,0.025,-1.69,3.03,0.24,5.47,-3.78,0.0,4.04,-3.86,4.77
186,0.027,-1.63,2.96,0.46,5.0,-3.98,0.0,4.0,-3.71,4.83
187,0.025999999,-1.61,2.78,0.45,4.1,-4.13,0.0,3.8,-3.78,4.85
188,0.025,-1.75,2.92,0.07,5.02,-3.5,0.0,3.77,-3.65,4.88
189,0.025999999,-1.98,2.5,0.31,2.68,-2.23,0.0,3.53,-3.58,4.94
190,0.025,-1.41,3.15,-0.22,6.37,-5.45,0.0,3.32,-3.56,4.87
191,0.027,-1.85,2.65,0.24,3.49,-2.92,0.0,3.24,-3.45,4.92
192,0.025999999,-1.79,2.61,-0.12,3.41,-3.33,0.0,3.11,-3.33,4.94
193,0.025,-1.67,2.48,0.4,2.57,-3.8,0.0,2.95,-3.19,4.97
194,0.025999999,-1.85,2.51,-0.07,2.84,-3.04,0.0,2.74,-3.11,4.93
195,0.027,-1.9,2.48,0.08,2.66,-2.72,0.0,2.57,-2.96,4.9
196,0.025,-1.79,2.59,0.55,3.11,-3.17,0.0,2.41,-2.86,4.84
197,0.025999999,-1.94,2.8,0.13,4.31,-2.47,0.0,2.36,-2.7,4.81
198,0.025,-1.71,2.46,1.1,2.3,-3.41,0.0,2.25,-2.72,4.8
199,0.025999999,-1.9,2.52,0.22,2.79,-2.66,0.0,2.13,-2.63,4.77
200,0.025999999,-1.85,2.64,0.54,3.35,-2.87,0.0,2.03,-2.58,4.77
201,0.025,-1.9,2.48,0.11,2.65,-2.7,0.0,1.93,-2.46,4.75
202,0.027,-1.97,2.54,0.68,2.82,-2.23,0.0,1.82,-2.25,4.72
203,0.025,-1.93,2.54,0.87,2.75,-2.38,0.0,1.64,-2.2,4.76
204,0.025999999,-2.02,2.48,0.42,2.57,-1.99,0.0,1.53,-2.19,4.8
205,0.025999999,-1.91,2.13,0.61,0.73,-2.55,0.0,1.43,-2.09,4.82
206,0.025,-1.97,2.17,0.78,0.93,-2.19,0.0,1.39,-1.96,4.8
207,0.025999999,-1.93,2.3,0.68,1.6,-2.4,0.0,1.41,-1.86,4.78
208,0.025,-2.07,2.3,0.55,1.63,-1.74,0.0,1.45,-1.75,4.78
209,0.027,-1.94,2.16,0.21,0.91,-2.46,0.0,1.46,-1.7,4.77
210,0.025999999,-2.13,2.41,0.45,2.18,-1.44,0.0,1.52,-1.56,4.72
211,0.025,-2.37,2.5,0.26,2.72,-0.16,0.0,1.58,-1.37,4.76
212,0.025999999,-2.13,2.29,0.18,1.61,-1.48,0.0,1.53,-1.27,4.73
213,0.025,-1.97,2.44,0.82,2.25,-2.2,0.0,1.56,-1.13,4.7
214,0.025999999,-2.23,2.59,0.41,3.12,-0.92,0.0,1.63,-0.98,4.7
215,0.025999999,-2.18,2.34,0.17,1.89,-1.19,0.0,1.61,-0.95,4.73
216,0.025,-2.13,2.37,0.27,2.04,-1.42,0.0,1.67,-0.9,4.75
217,0.027,-2.16,2.32,0.21,1.78,-1.27,0.0,1.69,-0.77,4.75
218,0.025,-2.22,2.36,0.44,1.95,-0.96,0.0,1.65,-0.72,4.77
219,0.025999999,-2.16,2.38,0.65,1.99,-1.26,0.0,1.61,-0.72,4.77
220,0.025999999,-2.21,2.37,0.42,1.98,-0.98,0.0,1.62,-0.71,4.82
221,0.025,-2.3,2.4,0.01,2.2,-0.57,0.0,1.61,-0.65,4.84
222,0.025999999,-2.2,2.37,0.61,1.96,-1.05,0.0,1.64,-0.57,4.88
223,0.025,-2.23,2.22,0.43,1.18,-0.88,0.0,1.64,-0.53,4.89
224,0.027,-2.21,2.32,0.6,1.72,-0.97,0.0,1.66,-0.52,4.9
225,0.025999999,-2.19,2.34,0.25,1.87,-1.1,0.0,1.73,-0.46,4.91
226,0.025,-2.3,2.46,0.4,2.49,-0.55,0.0,1.73,-0.47,4.91
227,0.025999999,-2.2,2.17,0.43,0.96,-1.03,0.0,1.68,-0.47,4.9
228,0.025,-2.19,2.33,0.29,1.79,-1.1,0.0,1.66,-0.5,4.91
229,0.025999999,-2.21,2.36,0.31,1.94,-1.01,0.0,1.69,-0.48,4.89
230,0.025999999,-2.26,2.44,0.61,2.33,-0.72,0.0,1.76,-0.42,4.89
231,0.025999999,-2.27,2.34,0.36,1.84,-0.7,0.0,1.72,-0.44,4.89
232,0.025999999,-2.3,2.44,0.49,2.33,-0.53,0.0,1.77,-0.43,4.9
233,0.025,-2.29,2.33,0.26,1.82,-0.62,0.0,1.79,-0.42,4.91
234,0.025999999,-2.28,2.3,0.38,1.65,-0.65,0.0,1.8,-0.42,4.91
235,0.025999999,-2.34,2.41,0.36,2.21,-0.31,0.0,1.78,-0.44,4.92
236,0.025,-2.3,2.38,0.37,2.07,-0.51,0.0,1.77,-0.46,4.93
237,0.025999999,-2.35,2.36,0.28,1.97,-0.28,0.0,1.79,-0.38,4.91
238,0.025999999,-2.27,2.46,0.35,2.5,-0.72,0.0,1.8,-0.38,4.91
239,0.025999999,-2.24,2.4,0.11,2.18,-0.89,0.0,1.88,-0.36,4.93
240,0.025999999,-2.36,2.36,0.24,1.98,-0.25,0.0,1.88,-0.33,4.94
241,0.025,-2.39,2.44,0.28,2.4,-0.05,0.0,1.9,-0.28,4.95
242,0.025999999,-2.13,2.28,0.96,1.46,-1.34,0.0,1.95,-0.21,4.98
243,0.025,-2.24,2.32,0.51,1.69,-0.85,0.0,1.95,-0.16,4.96
244,0.025999999,-2.44,2.55,0.3,2.97,0.21,0.0,2.03,-0.02,4.95
245,0.025999999,-2.39,2.58,0.47,3.09,-0.09,0.0,2.04,0.01,5.0
246,0.025,-2.35,2.34,0.52,1.82,-0.28,0.0,2.01,0.02,5.02
247,0.025999999,-2.26,2.45,0.21,2.44,-0.75,0.0,1.95,-0.08,5.06
248,0.025,-2.32,2.44,0.57,2.3,-0.41,0.0,1.91,-0.14,5.11
249,0.025999999,-2.43,2.45,0.21,2.45,0.15,0.0,1.86,-0.2,5.15
250,0.025999999,-2.28,2.5,0.33,2.69,-0.67,0.0,1.74,-0.3,5.22
251,0.025,-2.24,2.29,0.41,1.57,-0.85,0.0,1.59,-0.49,5.29
252,0.025999999,-2.1,2.25,0.74,1.34,-1.51,0.0,1.36,-0.77,5.35
253,0.027,-2.02,2.2,0.82,1.07,-1.92,0.0,0.86,-1.55,5.37
254,0.025,-1.98,1.95,0.32,-0.2,-2.23,0.0,0.31,-2.09,5.4
255,0.025999999,-2.04,2.06,0.63,0.38,-1.84,0.0,-0.32,-2.91,5.38
256,0.025,-2.67,2.89,-0.47,5.09,1.51,0.0,-0.78,-3.42,5.25
257,0.027,-1.66,1.79,-0.02,-1.05,-4.05,0.0,-1.21,-4.15,5.15
258,0.025999999,-1.35,1.68,1.05,-1.54,-5.16,0.0,-1.65,-5.15,4.94
