id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
1087,0.032,3841.22,-8752.0,14420.0,-30.4,-12.84,0.0,-28.61,-11.01,38.96
1088,0.031,3249.29,-8484.31,15928.0,-27.57,-10.21,0.0,-26.53,-10.54,39.18
1089,0.031,2993.37,-7996.59,16100.0,-26.04,-9.46,0.0,-24.56,-9.99,39.34
1090,0.031,3193.45,-7680.88,15816.0,-25.46,-10.3,0.0,-22.62,-9.52,39.48
1091,0.032,3065.54,-6877.19,16112.0,-22.76,-9.93,0.0,-20.43,-8.9,39.63
1092,0.029999997,2645.59,-6317.5,16540.0,-20.67,-8.51,0.0,-18.34,-8.55,39.87
1093,0.031,2329.61,-6185.78,17600.0,-19.22,-7.12,0.0,-16.43,-8.43,40.03
1094,0.031,2857.63,-5402.03,16812.0,-17.58,-9.2,0.0,-14.73,-8.31,40.28
1095,0.032,2949.68,-5030.29,17548.0,-15.79,-9.19,0.0,-12.92,-7.97,40.51
1096,0.029999997,2421.77,-4610.51,18068.0,-14.2,-7.41,0.0,-11.38,-7.4,40.7
1097,0.031,2317.83,-4174.72,17504.0,-13.31,-7.35,0.0,-9.99,-6.98,40.74
1098,0.031,2285.91,-3666.95,17804.0,-11.55,-7.17,0.0,-8.39,-6.48,40.84
1099,0.031,1902.03,-3363.21,18132.0,-10.45,-5.89,0.0,-6.56,-5.66,41.06
1100,0.029999997,2562.11,-2671.49,18424.0,-8.17,-7.84,0.0,-4.69,-5.14,41.23
1101,0.031,1686.19,-2115.76,17656.0,-6.8,-5.42,0.0,-2.83,-4.64,41.45
1102,0.029999997,1322.29,-1492.02,18340.0,-4.64,-4.12,0.0,-1.05,-3.97,41.65
1103,0.029999997,1514.4,-920.29,17936.0,-2.93,-4.83,0.0,0.82,-3.23,41.92
1104,0.029999997,790.55,-556.52,18096.0,-1.76,-2.5,0.0,2.42,-2.27,42.17
1105,0.029999997,798.66,-228.7,18152.0,-0.72,-2.52,0.0,3.65,-1.55,42.42
1106,0.028999997,758.69,427.13,18024.0,1.36,-2.41,0.0,4.83,-1.31,42.7
1107,0.029999997,674.76,614.95,18796.0,1.88,-2.06,0.0,6.06,-0.87,43.11
1108,0.028999997,510.84,1182.76,17972.0,3.77,-1.63,0.0,7.37,-0.34,43.37
1109,0.029999997,694.89,1526.55,18648.0,4.68,-2.13,0.0,8.8,-0.04,43.97
1110,0.027999999,106.93,2222.37,17744.0,7.14,-0.35,0.0,9.99,0.24,44.46
1111,0.029999997,-225.0,2602.14,17180.0,8.62,0.74,0.0,11.58,0.74,45.09
1112,0.029999997,135.08,3049.97,17700.0,9.78,-0.43,0.0,12.79,1.24,45.51
1113,0.027999999,-108.9,3313.82,18324.0,10.26,0.33,0.0,13.79,1.39,45.95
1114,0.029999997,-204.88,3781.68,17820.0,11.99,0.64,0.0,14.76,1.52,46.48
1115,0.029999997,-972.8,4381.51,17572.0,13.99,3.07,0.0,15.96,2.02,46.91
1116,0.028999997,-204.74,4389.34,17264.0,14.27,0.66,0.0,17.1,2.43,47.19
1117,0.029999997,-704.66,4765.19,18544.0,14.41,2.11,0.0,18.11,2.92,47.46
1118,0.029999997,-748.6,5321.02,17252.0,17.14,2.37,0.0,19.28,3.37,47.74
1119,0.028999997,-240.54,5516.85,17228.0,17.76,0.76,0.0,20.49,3.75,48.05
1120,0.029999997,-1020.45,5956.65,16672.0,19.64,3.3,0.0,21.81,4.33,48.29
1121,0.029999997,-696.38,6108.48,16140.0,20.72,2.31,0.0,23.03,4.83,48.43
1122,0.029999997,-892.31,6512.3,16428.0,21.61,2.89,0.0,24.21,5.25,48.59
1123,0.028999997,-676.3,6200.19,17120.0,19.91,2.13,0.0,24.99,5.32,48.84
1124,0.029999997,-896.3,6860.1,16580.0,22.46,2.86,0.0,25.62,5.34,49.16
1125,0.029999997,-1300.29,7595.95,16924.0,24.12,4.01,0.0,26.63,5.41,49.52
1126,0.028999997,-1276.26,7255.81,16364.0,23.86,4.08,0.0,27.61,5.6,49.75
1127,0.029999997,-472.27,7815.62,16092.0,25.91,1.51,0.0,28.89,5.51,50.21
1128,0.029999997,-1556.27,8227.47,15496.0,27.86,5.07,0.0,29.93,5.5,50.71
